k          Xk          fk    signWnoise
0           0         0.5      0.319813
1   0.0314159    0.531411      0.356598
2   0.0628319    0.562791      0.402565
3   0.0942478    0.594108      0.752371
4    0.125664    0.625333      0.619431
5     0.15708    0.656434      0.623086
6    0.188496    0.687381       0.74157
7    0.219911    0.718143      0.908909
8    0.251327     0.74869      0.714929
9    0.282743    0.778991      0.529587
10    0.314159    0.809017      0.577862
11    0.345575    0.838738      0.697352
12    0.376991    0.868125      0.831942
13    0.408407    0.897148      0.753243
14    0.439823    0.925779      0.793978
15    0.471239     0.95399       1.14345
16    0.502655    0.981754      0.829687
17    0.534071     1.00904       1.16828
18    0.565487     1.03583       1.02748
19    0.596903     1.06208       1.30089
20    0.628319     1.08779      0.887394
21    0.659734     1.11291       1.28621
22     0.69115     1.13742      0.998472
23    0.722566     1.16131        1.1828
24    0.753982     1.18455       1.43248
25    0.785398     1.20711        1.0241
26    0.816814     1.22897       1.42679
27     0.84823     1.25011       1.37449
28    0.879646     1.27051       1.14787
29    0.911062     1.29016       1.36657
30    0.942478     1.30902       1.23192
31    0.973894     1.32708       1.42338
32     1.00531     1.34433       1.28155
33     1.03673     1.36074       1.21411
34     1.06814     1.37631       1.43192
35     1.09956     1.39101       1.53094
36     1.13097     1.40483       1.18066
37     1.16239     1.41775       1.36589
38     1.19381     1.42978       1.34751
39     1.22522     1.44088       1.38445
40     1.25664     1.45106       1.36309
41     1.28805     1.46029       1.24112
42     1.31947     1.46858        1.4683
43     1.35088     1.47592       1.25439
44      1.3823     1.48229       1.46071
45     1.41372     1.48769       1.46675
46     1.44513     1.49211       1.69264
47     1.47655     1.49556       1.58321
48     1.50796     1.49803        1.3375
49     1.53938     1.49951       1.29965
50      1.5708         1.5       1.73829
51     1.60221     1.49951       1.46013
52     1.63363     1.49803       1.51045
53     1.66504     1.49556       1.72685
54     1.69646     1.49211       1.44662
55     1.72788     1.48769       1.32204
56     1.75929     1.48229       1.40798
57     1.79071     1.47592       1.33505
58     1.82212     1.46858       1.58645
59     1.85354     1.46029       1.42503
60     1.88496     1.45106       1.49014
61     1.91637     1.44088       1.35384
62     1.94779     1.42978       1.18958
63      1.9792     1.41775       1.66627
64     2.01062     1.40483       1.47787
65     2.04204     1.39101       1.27488
66     2.07345     1.37631        1.5637
67     2.10487     1.36074       1.48994
68     2.13628     1.34433        1.5509
69      2.1677     1.32708       1.26874
70     2.19911     1.30902       1.15126
71     2.23053     1.29016        1.4821
72     2.26195     1.27051       1.40856
73     2.29336     1.25011       1.17835
74     2.32478     1.22897       1.39407
75     2.35619     1.20711       1.13896
76     2.38761     1.18455       1.37452
77     2.41903     1.16131       1.25505
78     2.45044     1.13742       1.31819
79     2.48186     1.11291       1.06974
80     2.51327     1.08779       1.14809
81     2.54469     1.06208       1.29902
82     2.57611     1.03583       1.27637
83     2.60752     1.00904       1.19599
84     2.63894    0.981754       1.05714
85     2.67035     0.95399      0.768758
86     2.70177    0.925779      0.733356
87     2.73319    0.897148      0.921916
88      2.7646    0.868125       1.10216
89     2.79602    0.838738      0.792727
90     2.82743    0.809017      0.719636
91     2.85885    0.778991      0.686856
92     2.89027     0.74869      0.843669
93     2.92168    0.718143      0.887029
94      2.9531    0.687381      0.490502
95     2.98451    0.656434       0.88096
96     3.01593    0.625333      0.444713
97     3.04734    0.594108      0.625613
98     3.07876    0.562791      0.325629
99     3.11018    0.531411      0.731147
100     3.14159         0.5      0.589967
